"Pincode","State","District","Hospitalized","Deceased","Recovered"
744211,"AN","South Andaman",5,0,0
744102,"AN","South Andaman",5,0,0
744106,"AN","South Andaman",5,0,0
744206,"AN","South Andaman",5,0,0
744112,"AN","South Andaman",5,0,0
744104,"AN","South Andaman",5,0,0
744207,"AN","South Andaman",5,0,0
744107,"AN","South Andaman",5,0,0
744105,"AN","South Andaman",5,0,0
744101,"AN","South Andaman",5,0,0
744103,"AN","South Andaman",5,0,0
533284,"AP","East Godavari",6,0,0
533309,"AP","East Godavari",6,0,0
533287,"AP","East Godavari",6,0,0
533105,"AP","East Godavari",6,0,0
521111,"AP","Krishna",14,0,0
533249,"AP","East Godavari",6,0,0
533264,"AP","East Godavari",6,0,0
521156,"AP","Krishna",14,0,0
533211,"AP","East Godavari",6,0,0
533288,"AP","East Godavari",6,0,0
533125,"AP","East Godavari",6,0,0
533006,"AP","East Godavari",6,0,0
521207,"AP","Krishna",14,0,0
533577,"AP","East Godavari",6,0,0
521101,"AP","Krishna",14,0,0
521332,"AP","Krishna",14,0,0
533241,"AP","East Godavari",6,0,0
533004,"AP","East Godavari",6,0,0
533401,"AP","East Godavari",6,0,0
533233,"AP","East Godavari",6,0,0
533102,"AP","East Godavari",6,0,0
521185,"AP","Krishna",14,0,0
533342,"AP","East Godavari",6,0,0
521170,"AP","Krishna",14,0,0
521175,"AP","Krishna",14,0,0
533307,"AP","East Godavari",6,0,0
521241,"AP","Krishna",14,0,0
520001,"AP","Krishna",14,0,0
521330,"AP","Krishna",14,0,0
521235,"AP","Krishna",14,0,0
521327,"AP","Krishna",14,0,0
533407,"AP","East Godavari",6,0,0
521202,"AP","Krishna",14,0,0
521121,"AP","Krishna",14,0,0
533262,"AP","East Godavari",6,0,0
533343,"AP","East Godavari",6,0,0
521132,"AP","Krishna",14,0,0
521130,"AP","Krishna",14,0,0
521456,"AP","Krishna",14,0,0
521403,"AP","Krishna",14,0,0
531083,"AP","Visakhapatnam",13,0,1
531025,"AP","Visakhapatnam",13,0,1
533212,"AP","East Godavari",6,0,0
521151,"AP","Krishna",14,0,0
533248,"AP","East Godavari",6,0,0
533306,"AP","East Godavari",6,0,0
533285,"AP","East Godavari",6,0,0
533263,"AP","East Godavari",6,0,0
521158,"AP","Krishna",14,0,0
521245,"AP","Krishna",14,0,0
523315,"AP","Prakasam",15,0,0
533447,"AP","East Godavari",6,0,0
521150,"AP","Krishna",14,0,0
521226,"AP","Krishna",14,0,0
533201,"AP","East Godavari",6,0,0
533408,"AP","East Godavari",6,0,0
533222,"AP","East Godavari",6,0,0
533345,"AP","East Godavari",6,0,0
521343,"AP","Krishna",14,0,0
521213,"AP","Krishna",14,0,0
533289,"AP","East Godavari",6,0,0
520002,"AP","Krishna",14,0,0
521211,"AP","Krishna",14,0,0
533218,"AP","East Godavari",6,0,0
533340,"AP","East Godavari",6,0,0
521181,"AP","Krishna",14,0,0
521135,"AP","Krishna",14,0,0
520013,"AP","Krishna",14,0,0
521402,"AP","Krishna",14,0,0
533448,"AP","East Godavari",6,0,0
521311,"AP","Krishna",14,0,0
521323,"AP","Krishna",14,0,0
521344,"AP","Krishna",14,0,0
521225,"AP","Krishna",14,0,0
521139,"AP","Krishna",14,0,0
521104,"AP","Krishna",14,0,0
533431,"AP","East Godavari",6,0,0
520007,"AP","Krishna",14,0,0
521229,"AP","Krishna",14,0,0
521109,"AP","Krishna",14,0,0
521301,"AP","Krishna",14,0,0
521106,"AP","Krishna",14,0,0
534269,"AP","West Godavari",13,0,0
531127,"AP","Visakhapatnam",13,0,1
530045,"AP","Visakhapatnam",13,0,1
530048,"AP","Visakhapatnam",13,0,1
521326,"AP","Krishna",14,0,0
521107,"AP","Krishna",14,0,0
521390,"AP","Krishna",14,0,0
523357,"AP","Prakasam",15,0,0
533210,"AP","East Godavari",6,0,0
523157,"AP","Prakasam",15,0,0
523169,"AP","Prakasam",15,0,0
523372,"AP","Prakasam",15,0,0
523371,"AP","Prakasam",15,0,0
533436,"AP","East Godavari",6,0,0
533308,"AP","East Godavari",6,0,0
521366,"AP","Krishna",14,0,0
533247,"AP","East Godavari",6,0,0
533346,"AP","East Godavari",6,0,0
533428,"AP","East Godavari",6,0,0
533101,"AP","East Godavari",6,0,0
533242,"AP","East Godavari",6,0,0
523264,"AP","Prakasam",15,0,0
523117,"AP","Prakasam",15,0,0
523327,"AP","Prakasam",15,0,0
523001,"AP","Prakasam",15,0,0
523270,"AP","Prakasam",15,0,0
521322,"AP","Krishna",14,0,0
521149,"AP","Krishna",14,0,0
530005,"AP","Visakhapatnam",13,0,1
520004,"AP","Krishna",14,0,0
533462,"AP","East Godavari",6,0,0
533437,"AP","East Godavari",6,0,0
533232,"AP","East Godavari",6,0,0
533239,"AP","East Godavari",6,0,0
533216,"AP","East Godavari",6,0,0
533220,"AP","East Godavari",6,0,0
533238,"AP","East Godavari",6,0,0
533254,"AP","East Godavari",6,0,0
533253,"AP","East Godavari",6,0,0
521331,"AP","Krishna",14,0,0
521247,"AP","Krishna",14,0,0
521164,"AP","Krishna",14,0,0
521212,"AP","Krishna",14,0,0
520011,"AP","Krishna",14,0,0
531055,"AP","Visakhapatnam",13,0,1
533236,"AP","East Godavari",6,0,0
533256,"AP","East Godavari",6,0,0
533260,"AP","East Godavari",6,0,0
534326,"AP","West Godavari",13,0,0
533252,"AP","East Godavari",6,0,0
531011,"AP","Visakhapatnam",13,0,1
533274,"AP","East Godavari",6,0,0
533237,"AP","East Godavari",6,0,0
521163,"AP","Krishna",14,0,0
521201,"AP","Krishna",14,0,0
523252,"AP","Prakasam",15,0,0
533406,"AP","East Godavari",6,0,0
533217,"AP","East Godavari",6,0,0
523105,"AP","Prakasam",15,0,0
533468,"AP","East Godavari",6,0,0
533221,"AP","East Godavari",6,0,0
534123,"AP","West Godavari",13,0,0
534240,"AP","West Godavari",13,0,0
534280,"AP","West Godavari",13,0,0
533106,"AP","East Godavari",6,0,0
533290,"AP","East Godavari",6,0,0
523225,"AP","Prakasam",15,0,0
523185,"AP","Prakasam",15,0,0
533255,"AP","East Godavari",6,0,0
533234,"AP","East Godavari",6,0,0
533293,"AP","East Godavari",6,0,0
507130,"AP","East Godavari",6,0,0
533440,"AP","East Godavari",6,0,0
533305,"AP","East Godavari",6,0,0
521126,"AP","Krishna",14,0,0
521157,"AP","Krishna",14,0,0
530007,"AP","Visakhapatnam",13,0,1
531031,"AP","Visakhapatnam",13,0,1
530011,"AP","Visakhapatnam",13,0,1
534217,"AP","West Godavari",13,0,0
534126,"AP","West Godavari",13,0,0
523101,"AP","Prakasam",15,0,0
521178,"AP","Krishna",14,0,0
521102,"AP","Krishna",14,0,0
