"Pincode","State","District","Hospitalized","Deceased","Recovered"
533274,"AP","East Godavari",11,0,0
533238,"AP","East Godavari",11,0,0
533248,"AP","East Godavari",11,0,0
533222,"AP","East Godavari",11,0,0
517128,"AP","Chittoor",17,0,0
517280,"AP","Chittoor",17,0,0
533229,"AP","East Godavari",11,0,0
517403,"AP","Chittoor",17,0,0
517257,"AP","Chittoor",17,0,0
517390,"AP","Chittoor",17,0,0
533217,"AP","East Godavari",11,0,0
517423,"AP","Chittoor",17,0,0
533274,"AP","East Godavari",11,0,0
533222,"AP","East Godavari",11,0,0
533235,"AP","East Godavari",11,0,0
533213,"AP","East Godavari",11,0,0
533220,"AP","East Godavari",11,0,0
533212,"AP","East Godavari",11,0,0
533218,"AP","East Godavari",11,0,0
533248,"AP","East Godavari",11,0,0
533221,"AP","East Godavari",11,0,0
517123,"AP","Chittoor",17,0,0
517408,"AP","Chittoor",17,0,0
517370,"AP","Chittoor",17,0,0
533216,"AP","East Godavari",11,0,0
533253,"AP","East Godavari",11,0,0
521133,"AP","Krishna",28,0,0
521122,"AP","Krishna",28,0,0
533236,"AP","East Godavari",11,0,0
533251,"AP","East Godavari",11,0,0
533229,"AP","East Godavari",11,0,0
533214,"AP","East Godavari",11,0,0
533238,"AP","East Godavari",11,0,0
533214,"AP","East Godavari",11,0,0
533213,"AP","East Godavari",11,0,0
533577,"AP","East Godavari",11,0,0
533244,"AP","East Godavari",11,0,0
533253,"AP","East Godavari",11,0,0
533247,"AP","East Godavari",11,0,0
533249,"AP","East Godavari",11,0,0
533254,"AP","East Godavari",11,0,0
517257,"AP","Chittoor",17,0,0
533218,"AP","East Godavari",11,0,0
533247,"AP","East Godavari",11,0,0
517429,"AP","Chittoor",17,0,0
533228,"AP","East Godavari",11,0,0
533211,"AP","East Godavari",11,0,0
533222,"AP","East Godavari",11,0,0
533220,"AP","East Godavari",11,0,0
533248,"AP","East Godavari",11,0,0
533577,"AP","East Godavari",11,0,0
533216,"AP","East Godavari",11,0,0
517127,"AP","Chittoor",17,0,0
533217,"AP","East Godavari",11,0,0
533238,"AP","East Godavari",11,0,0
533216,"AP","East Godavari",11,0,0
533235,"AP","East Godavari",11,0,0
533239,"AP","East Godavari",11,0,0
533211,"AP","East Godavari",11,0,0
533250,"AP","East Godavari",11,0,0
533252,"AP","East Godavari",11,0,0
533223,"AP","East Godavari",11,0,0
533253,"AP","East Godavari",11,0,0
533252,"AP","East Godavari",11,0,0
533216,"AP","East Godavari",11,0,0
533235,"AP","East Godavari",11,0,0
533247,"AP","East Godavari",11,0,0
533252,"AP","East Godavari",11,0,0
533235,"AP","East Godavari",11,0,0
533242,"AP","East Godavari",11,0,0
533247,"AP","East Godavari",11,0,0
533211,"AP","East Godavari",11,0,0
533248,"AP","East Godavari",11,0,0
533212,"AP","East Godavari",11,0,0
533251,"AP","East Godavari",11,0,0
533218,"AP","East Godavari",11,0,0
533254,"AP","East Godavari",11,0,0
533221,"AP","East Godavari",11,0,0
533211,"AP","East Godavari",11,0,0
533247,"AP","East Godavari",11,0,0
517390,"AP","Chittoor",17,0,0
533252,"AP","East Godavari",11,0,0
533228,"AP","East Godavari",11,0,0
533240,"AP","East Godavari",11,0,0
533221,"AP","East Godavari",11,0,0
533274,"AP","East Godavari",11,0,0
533210,"AP","East Godavari",11,0,0
533249,"AP","East Godavari",11,0,0
533212,"AP","East Godavari",11,0,0
533228,"AP","East Godavari",11,0,0
533239,"AP","East Godavari",11,0,0
533247,"AP","East Godavari",11,0,0
533229,"AP","East Godavari",11,0,0
533249,"AP","East Godavari",11,0,0
533217,"AP","East Godavari",11,0,0
533220,"AP","East Godavari",11,0,0
533210,"AP","East Godavari",11,0,0
533249,"AP","East Godavari",11,0,0
533241,"AP","East Godavari",11,0,0
533201,"AP","East Godavari",11,0,0
533222,"AP","East Godavari",11,0,0
533201,"AP","East Godavari",11,0,0
533577,"AP","East Godavari",11,0,0
533235,"AP","East Godavari",11,0,0
533210,"AP","East Godavari",11,0,0
533217,"AP","East Godavari",11,0,0
533248,"AP","East Godavari",11,0,0
533235,"AP","East Godavari",11,0,0
533214,"AP","East Godavari",11,0,0
533201,"AP","East Godavari",11,0,0
533211,"AP","East Godavari",11,0,0
533236,"AP","East Godavari",11,0,0
533212,"AP","East Godavari",11,0,0
533211,"AP","East Godavari",11,0,0
533221,"AP","East Godavari",11,0,0
533218,"AP","East Godavari",11,0,0
533236,"AP","East Godavari",11,0,0
533244,"AP","East Godavari",11,0,0
533274,"AP","East Godavari",11,0,0
533222,"AP","East Godavari",11,0,0
533214,"AP","East Godavari",11,0,0
533248,"AP","East Godavari",11,0,0
533214,"AP","East Godavari",11,0,0
533212,"AP","East Godavari",11,0,0
533239,"AP","East Godavari",11,0,0
533223,"AP","East Godavari",11,0,0
533250,"AP","East Godavari",11,0,0
