"state","district","Hospitalized","Deceased","Recovered","Date"
"Punjab","Ludhiana",2,0,0,2020-04-01
"Tamil Nadu","Madurai",14,1,0,2020-04-01
"Puducherry","Mahe",1,0,0,2020-04-01
"Gujarat","Mahesana",1,0,0,2020-04-01
"Kerala","Malappuram",12,0,0,2020-04-01
"Telangana","Medchal Malkajgiri",1,0,0,2020-04-01
"West Bengal","Medinipur East",3,0,0,2020-04-01
"Uttar Pradesh","Meerut",5,0,0,2020-04-01
"Uttar Pradesh","Moradabad",1,0,0,2020-04-01
"Maharashtra","Mumbai",139,2,0,2020-04-01
"Maharashtra","Mumbai Suburban",4,0,0,2020-04-01
"Bihar","Munger",2,1,0,2020-04-01
"Karnataka","Mysuru",19,0,0,2020-04-01
"West Bengal","Nadia",5,0,0,2020-04-01
"Maharashtra","Nagpur",12,0,0,2020-04-01
"Bihar","Nalanda",2,0,0,2020-04-01
"Tamil Nadu","Namakkal",18,0,0,2020-04-01
"Maharashtra","Nashik",1,0,0,2020-04-01
"Delhi","New Delhi",5,0,0,2020-04-01
"West Bengal","North 24 Parganas",3,0,1,2020-04-01
"Andaman and Nicobar Islands","North and Middle Andaman",1,0,0,2020-04-01
"Delhi","North Delhi",3,0,0,2020-04-01
"Delhi","North East Delhi",1,0,0,2020-04-01
"Goa","North Goa",3,0,0,2020-04-01
"Delhi","North West Delhi",3,0,0,2020-04-01
"Kerala","Palakkad",6,0,0,2020-04-01
"Haryana","Palwal",1,0,0,2020-04-01
"Haryana","Panchkula",2,0,0,2020-04-01
"Haryana","Panipat",4,0,0,2020-04-01
"Kerala","Pathanamthitta",5,0,7,2020-04-01
"Bihar","Patna",4,0,0,2020-04-01
"Uttarakhand","Pauri Garhwal",2,0,0,2020-04-01
"Uttar Pradesh","Pilibhit",2,0,0,2020-04-01
"Gujarat","Porbandar",1,0,0,2020-04-01
"Andhra Pradesh","Prakasam",15,0,0,2020-04-01
"Rajasthan","Pratapgarh",2,0,0,2020-04-01
"Puducherry","Puducherry",2,0,0,2020-04-01
"Maharashtra","Pune",50,0,2,2020-04-01
"Chhattisgarh","Raipur",4,0,0,2020-04-01
"Gujarat","Rajkot",8,0,0,2020-04-01
"Chhattisgarh","Rajnandgaon",1,0,0,2020-04-01
"Jammu and Kashmir","Rajouri",3,0,0,2020-04-01
"Jharkhand","Ranchi",1,0,0,2020-04-01
"Telangana","Ranga Reddy",2,0,0,2020-04-01
"Maharashtra","Ratnagiri",1,0,0,2020-04-01
"Punjab","S.A.S. Nagar",9,0,0,2020-04-01
"Andhra Pradesh","S.P.S. Nellore",2,0,1,2020-04-01
"Tamil Nadu","Salem",6,0,0,2020-04-01
"Maharashtra","Sangli",25,0,0,2020-04-01
"Maharashtra","Satara",2,0,0,2020-04-01
"Punjab","Shahid Bhagat Singh Nagar",18,1,0,2020-04-01
"Madhya Pradesh","Shivpuri",2,0,0,2020-04-01
"Jammu and Kashmir","Shopian",2,0,0,2020-04-01
"Haryana","Sirsa",3,0,0,2020-04-01
"Tamil Nadu","Sivaganga",5,0,0,2020-04-01
"Bihar","Siwan",5,0,0,2020-04-01
"Haryana","Sonipat",1,0,0,2020-04-01
"West Bengal","South 24 Parganas",1,0,0,2020-04-01
"Andaman and Nicobar Islands","South Andaman",5,0,0,2020-04-01
"Delhi","South Delhi",25,0,0,2020-04-01
"Delhi","South West Delhi",2,1,0,2020-04-01
"Jammu and Kashmir","Srinagar",17,0,0,2020-04-01
"Gujarat","Surat",6,1,0,2020-04-01
"Maharashtra","Thane",5,0,0,2020-04-01
"Tamil Nadu","Thanjavur",1,0,0,2020-04-01
"Tamil Nadu","Theni",20,0,0,2020-04-01
"Kerala","Thiruvananthapuram",9,1,2,2020-04-01
"Tamil Nadu","Thiruvarur",2,0,0,2020-04-01
"Tamil Nadu","Thoothukkudi",3,0,0,2020-04-01
"Kerala","Thrissur",8,0,2,2020-04-01
"Tamil Nadu","Tiruchirappalli",1,0,0,2020-04-01
"Tamil Nadu","Tirunelveli",29,0,0,2020-04-01
"Tamil Nadu","Tirupathur",7,0,0,2020-04-01
"Tamil Nadu","Tiruppur",1,0,0,2020-04-01
"Tamil Nadu","Tiruvannamalai",2,0,0,2020-04-01
"Rajasthan","Tonk",4,0,0,2020-04-01
"Karnataka","Tumakuru",1,1,0,2020-04-01
"Karnataka","Udupi",3,0,0,2020-04-01
"Madhya Pradesh","Ujjain",4,1,0,2020-04-01
"Karnataka","Uttara Kannada",9,0,0,2020-04-01
"Gujarat","Vadodara",9,0,0,2020-04-01
"Uttar Pradesh","Varanasi",2,0,0,2020-04-01
"Tamil Nadu","Vellore",2,0,0,2020-04-01
"Tamil Nadu","Viluppuram",3,0,0,2020-04-01
"Tamil Nadu","Virudhunagar",1,0,0,2020-04-01
"Andhra Pradesh","Visakhapatnam",10,0,1,2020-04-01
"Kerala","Wayanad",3,0,0,2020-04-01
"Delhi","West Delhi",1,0,1,2020-04-01
"Andhra Pradesh","West Godavari",13,0,0,2020-04-01
"Andhra Pradesh","Y.S.R.",15,0,0,2020-04-01
"Maharashtra","Yavatmal",4,0,0,2020-04-01
