"State","Pincode","District","Hospitalized","Deaths","Recovered","S_Hospitalized","S_Deaths","S_Recovered","C_Hospitalized","C_Deaths","C_Recovered"
"AP",517102,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517505,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",521153,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521109,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",522661,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",517426,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",533449,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",531105,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",531034,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",523117,"Prakasam",15,0,0,66,0,1,1179,14,40
"AP",522101,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",517305,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517408,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517418,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517101,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517526,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",521263,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521162,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",517416,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",530002,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",517561,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",521120,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",520010,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521131,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521151,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521213,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521227,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521247,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",520011,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",517325,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517592,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",533401,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",517236,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",531114,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",531036,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",530051,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",521226,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521104,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521261,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",517352,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517113,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517124,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",521327,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",517130,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517551,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",530013,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",517424,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517127,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517584,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",530028,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",530041,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",531019,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",535005,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",530015,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",530022,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",521157,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521164,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",517125,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",520001,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",517504,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",521150,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521343,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",517235,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517520,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517167,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517536,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517257,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",521235,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521245,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521202,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521165,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521001,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",533428,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",521138,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521102,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",517214,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517620,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",521246,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",517417,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",521126,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521322,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521136,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",517425,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517414,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",521323,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",517370,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",533463,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533234,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533221,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533343,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533104,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533222,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533239,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533483,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533447,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533346,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533260,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",521225,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",533341,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533201,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533436,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533101,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533284,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533102,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533103,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533241,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533294,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533214,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533306,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533406,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533305,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533249,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",521301,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",533437,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533255,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",517619,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517234,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517503,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517642,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517645,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517350,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",534449,"West Godavari",13,0,0,66,0,1,1179,14,40
"AP",530017,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",531011,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",531082,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",517192,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",534452,"West Godavari",13,0,0,66,0,1,1179,14,40
"AP",534245,"West Godavari",13,0,0,66,0,1,1179,14,40
"AP",533292,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",518176,"Kurnool",1,0,0,66,0,1,1179,14,40
"AP",518349,"Kurnool",1,0,0,66,0,1,1179,14,40
"AP",518308,"Kurnool",1,0,0,66,0,1,1179,14,40
"AP",518468,"Kurnool",1,0,0,66,0,1,1179,14,40
"AP",518221,"Kurnool",1,0,0,66,0,1,1179,14,40
"AP",518220,"Kurnool",1,0,0,66,0,1,1179,14,40
"AP",518466,"Kurnool",1,0,0,66,0,1,1179,14,40
"AP",530004,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",533435,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",531115,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",531126,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",521125,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521241,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",530045,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",531085,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",531113,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",531116,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",518395,"Kurnool",1,0,0,66,0,1,1179,14,40
"AP",531024,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",530027,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",530020,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",530043,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",531151,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",533262,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",531031,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",535145,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",518511,"Kurnool",1,0,0,66,0,1,1179,14,40
"AP",518465,"Kurnool",1,0,0,66,0,1,1179,14,40
"AP",518346,"Kurnool",1,0,0,66,0,1,1179,14,40
"AP",518323,"Kurnool",1,0,0,66,0,1,1179,14,40
"AP",517589,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",521122,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521133,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",534401,"West Godavari",13,0,0,66,0,1,1179,14,40
"AP",534318,"West Godavari",13,0,0,66,0,1,1179,14,40
"AP",534222,"West Godavari",13,0,0,66,0,1,1179,14,40
"AP",534316,"West Godavari",13,0,0,66,0,1,1179,14,40
"AP",521402,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521456,"Krishna",6,0,0,66,0,1,1179,14,40
