"","District"
"42472","POONCH"
"42610","KARGIL"
"42626","RAJAURI"
"42805","PULWAMA"
"42825","BUDGAM"
"42826","SRINAGAR"
"42827","ANANTHNAG"
"42835","GANDERBAL"
"42926","SHOPIAN"
"43272","REASI"
"43273","DODA"
"43275","RAMBAN"
"43277","UDHAMPUR"
"43576","Kargil"
"43577","Leh"
"43688","DHANBAD"
"43689","BOKARO"
"43723","Dhanbad"
"44001","GIRIDH"
"44140","HAZARIBAG"
"44255","CHATRA"
"44256","Chatra"
"44257","Ramgarh"
"44258","RAMGARH"
"44259","KODERMA"
"44274","Koderma"
"44307","Hazaribagh"
"44573","PALAMAU"
"44663","GUMLA"
"44666","LATEHAR"
"44667","GARHWA"
"44669","PAKUR"
"44724","RANCHI"
"45030","SIMDEGA"
"45033","Lohardaga"
"45041","KHUNTI"
"45048","LOHARDAGA"
"45069","Khunti"
"45076","Gumla"
"45207","Simdega"
"45729","WEST SINGHBHUM"
"45765","GODDA"
"45766","JAMTARA"
"45768","SAHIBGANJ"
"45771","DUMKA"
"46514","SERAIKELAKHARSAWAN"
"46517","EAST SINGHBHUM"
"46958","BENGALURU"
"46960","Bangalore"
"47009","BENGALURU RURAL"
"47072","Bengaluru"
"47205","RAMANAGAR"
"47345","Ramdurg"
"47366","Ramanagara"
"47557","BAGALKOT"
"47892","BELLARY"
"47897","DAVANGERE"
"48148","BALLARI"
"48340","BELAGAVI"
"48683","Bidar"
"48859","BIDAR"
"49169","Belgaum"
"49219","Hubballi"
"49220","Dharwad"
"49237","Madikeri"
"49344","Arsikere"
"49366","Kundgol"
"49422","Kalghatgi"
"49432","GADAG"
"49434","KOPPAL"
"49586","Koppal"
"49785","DHARWAD"
"49978","HAVERI"
"50110","Haveri"
"50237","KALABURAGI"
"50564","YADGIR"
"50741","Gulbarga"
"50862","UTTARA KANNADA"
"51097","RAICHUR"
"51384","Uttara Kannada"
"51386","Siddapur"
"51387","Joida"
"51635","BIJAPUR(KAR)"
"52014","BIJAPUR"
"52036","CHICKMAGALUR"
"52174","Chikkamagaluru"
"52337","CHITRADURGA"
"52370","Davangere"
"52800","HASSAN"
"53215","Kodagu"
"53230","Athani"
"53252","Jamkhandi"
"53298","Kollegal"
"53428","CHIKKABALLAPUR"
"53429","KOLAR"
"53446","KODAGU"
"53498","Kolar"
"53847","Mandya"
"54200","Dakshina Kannada"
"54217","Udupi"
"54349","Mysuru"
"54406","Saraswathipuram"
"54436","Hanagodu"
"54556","MYSORE"
"54568","Hunsur"
"54629","Chamrajnagar"
"54684","Bailhongal"
"54691","Nanjangud"
"54762","KOLLEGAL"
"54796","Sagar"
"54936","CHAMARAJANAGAR"
"54954","DAKSHINA KANNADA"
"54957","UDUPI"
"55347","SHIVAMOGGA"
"55425","Shivamogga"
"55819","TUMAKURU"
"56640","KOLLAM"
"56641","PATHANAMTHITTA"
"57198","ALAPPUZHA"
"57357","THIRUVANANTHAPURAM"
"57506","Thiruvananthapuram"
"57771","WAYANAD"
"57772","KOZHIKODE"
"57781","MALAPPURAM"
"58075","KANNUR"
"58140","KASARGOD"
"58478","Kasaragod"
"58792","PALAKKAD"
"59308","Thalassery"
"59604","MALAPPURM"
"59743","MAHE"
"59978","ERNAKULAM"
"60233","KOTTAYAM"
"60307","IDUKKI"
"60828","THRISSUR"
"61278","Lakshadweep"
"61281","Kochi"
"61285","LAKSHADWEEP"
"61389","Pathanamthitta"
"61709","SEONI"
"61710","BALAGHAT"
"62108","Seoni"
"62116","Balaghat"
"62141","BHOPAL"
"62149","RAISEN"
"62283","CHHATARPUR"
"62284","TIKAMGARH"
"62286","PANNA"
"62846","CHHINDWARA"
"62847","BETUL"
